数据日期,数据大小,总错误条数,更新日期,数据来源,err_1,err_2,err_3,err_4,err_5,err_6,err_7,err_8,err_9,err_10
20101215,,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101216,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101217,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101220,8.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101221,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101222,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101223,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101224,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101227,8.0M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101228,7.9M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101229,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101230,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20101231,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
