xdate,yType,error_sum
20100331,StockBmink,0
20100401,StockBmink,0
20100402,StockBmink,0
20100406,StockBmink,0
20100407,StockBmink,0
20100408,StockBmink,0
20100409,StockBmink,0
20100412,StockBmink,0
20100413,StockBmink,0
20100414,StockBmink,19
20100415,StockBmink,0
20100416,StockBmink,0
20100419,StockBmink,0
20100420,StockBmink,0
20100421,StockBmink,0
20100422,StockBmink,0
20100423,StockBmink,0
20100426,StockBmink,0
20100427,StockBmink,0
20100428,StockBmink,0
20100429,StockBmink,0
20100430,StockBmink,0
20100504,StockBmink,0
20100505,StockBmink,0
20100506,StockBmink,0
20100507,StockBmink,0
20100510,StockBmink,0
20100511,StockBmink,0
20100512,StockBmink,0
20100513,StockBmink,0
20100514,StockBmink,0
20100517,StockBmink,0
20100518,StockBmink,0
20100519,StockBmink,0
20100520,StockBmink,0
20100521,StockBmink,0
20100524,StockBmink,0
20100525,StockBmink,0
20100526,StockBmink,0
20100527,StockBmink,0
20100528,StockBmink,0
20100531,StockBmink,0
20100601,StockBmink,0
20100602,StockBmink,0
20100603,StockBmink,0
20100604,StockBmink,0
20100607,StockBmink,0
20100608,StockBmink,0
20100609,StockBmink,0
20100610,StockBmink,0
20100611,StockBmink,0
20100617,StockBmink,0
20100618,StockBmink,0
20100621,StockBmink,0
20100622,StockBmink,0
20100623,StockBmink,0
20100624,StockBmink,0
20100625,StockBmink,0
20100628,StockBmink,0
20100629,StockBmink,0
20100630,StockBmink,0
20100701,StockBmink,0
20100702,StockBmink,0
20100705,StockBmink,0
20100706,StockBmink,0
20100707,StockBmink,0
20100708,StockBmink,0
20100709,StockBmink,0
20100712,StockBmink,0
20100713,StockBmink,0
20100714,StockBmink,0
20100715,StockBmink,0
20100716,StockBmink,0
20100719,StockBmink,0
20100720,StockBmink,0
20100721,StockBmink,0
20100722,StockBmink,0
20100723,StockBmink,0
20100726,StockBmink,0
20100727,StockBmink,0
20100728,StockBmink,0
20100729,StockBmink,0
20100730,StockBmink,0
20100802,StockBmink,0
20100803,StockBmink,0
20100804,StockBmink,0
20100805,StockBmink,0
20100806,StockBmink,0
20100809,StockBmink,0
20100810,StockBmink,0
20100811,StockBmink,0
20100812,StockBmink,0
20100813,StockBmink,0
20100816,StockBmink,0
20100817,StockBmink,0
20100818,StockBmink,0
20100819,StockBmink,0
20100820,StockBmink,0
20100823,StockBmink,0
20100824,StockBmink,0
20100825,StockBmink,0
20100826,StockBmink,0
20100827,StockBmink,0
20100830,StockBmink,0
20100831,StockBmink,0
20100901,StockBmink,0
20100902,StockBmink,0
20100903,StockBmink,0
20100906,StockBmink,0
20100907,StockBmink,0
20100908,StockBmink,0
20100909,StockBmink,0
20100910,StockBmink,0
20100913,StockBmink,0
20100914,StockBmink,0
20100915,StockBmink,0
20100916,StockBmink,0
20100917,StockBmink,0
20100920,StockBmink,0
20100921,StockBmink,0
20100927,StockBmink,0
20100928,StockBmink,0
20100929,StockBmink,0
20100930,StockBmink,0
20101008,StockBmink,0
20101011,StockBmink,0
20101012,StockBmink,0
20101013,StockBmink,0
20101014,StockBmink,0
20101015,StockBmink,0
20101018,StockBmink,0
20101019,StockBmink,0
20101020,StockBmink,0
20101021,StockBmink,0
20101022,StockBmink,28
20101025,StockBmink,0
20101026,StockBmink,0
